Name,Phone_Number,Category,Sub_Categories,Website,Rating,Review_Number,Working_Hours,Media,Place_Google_ID,Longitude,Latitude,District,City,Pics_Number,Logo,Description,Description_AR,Zip,Price_Range,Verified,Amenities,Full_Address,Order_Link,Reservation_Link,Average_Bill,Status,HudHud_Media,Google_Link,Store_Front,Is_Landmark
Kingdom Centre Tower,+966 11 211 2222,Shopping mall,Shopping mall,http://kingdomcentre.com.sa/,4.4,25598.0,1: 9:30 AM–10:30 PM|2: 9:30 AM–10:30 PM|3: 9:30 AM–10:30 PM|4: 9:30 AM–10:30 PM|5: 9:30 AM–10:30 PM|6: 3:35–10:30 PM|7: 9:30 AM–10:30 PM,['https://lh5.googleusercontent.com/p/AF1QipPl8bYOMlEAIbI5vGlkOaH61Xn3ReWG6T5ixaw6=w408-h271-k-no'],ChIJmW8EDigDLz4REqJgseo3dwM,46.6743951,24.7113828,Al Olaya,Riyadh,39741.0,https://lh5.googleusercontent.com/-2Twf2slkQ64/AAAAAAAAAAI/AAAAAAAAAAA/BrQuWp66Yxk/s44-p-k-no-ns-nd/photo.jpg,"The Kingdom Centre Tower in Riyadh, Saudi Arabia, is an iconic skyscraper standing 302 meters tall. It's known for its unique design featuring a skybridge at the top, offering breathtaking panoramic views of the city. Visitors can enjoy luxury shopping at the Kingdom Centre Mall, dine at world-class restaurants, and stay at the opulent Four Seasons Hotel. The tower also hosts various events and exhibitions, making it a vibrant hub of activity.

","برج مركز المملكة في الرياض، المملكة العربية السعودية، هو ناطحة سحاب أيقونية بارتفاع 302 متر. يتميز بتصميمه الفريد الذي يضم جسر سماء في الأعلى، مما يوفر إطلالات بانورامية خلابة على المدينة. يمكن للزوار الاستمتاع بالتسوق الفاخر في مول مركز المملكة، وتناول الطعام في المطاعم العالمية، والإقامة في فندق الفور سيزونز الفاخر. كما يستضيف البرج العديد من الفعاليات والمعارض، مما يجعله مركزًا نشطًا وحيويًا.




",12214.0,,Claimed business,,SA|Riyadh|King Fahd Rd|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJmW8EDigDLz4REqJgseo3dwM,[],True
Al-kofeia Restaurant,+966 55 345 3888,Restaurant,Restaurant,https://mbshr.com/119-alkofeia-restaurant/-1,4.1,19681.0,1: 5 AM–12 AM|2: 5 AM–1 AM|3: 5 AM–1 AM|4: 5 AM–1 AM|5: 5 AM–1 AM|6: 5 AM–1 AM|7: 5 AM–1 AM,['https://lh5.googleusercontent.com/p/AF1QipMqolPCUivl0EilX4a19xT-2f4ecu_BC5Srk39J=w426-h240-k-no'],ChIJ-zda4RYDLz4R96oFZWh-MtE,46.6916188,24.700187,Al Olaya,Riyadh,18677.0,https://lh6.googleusercontent.com/-KfskrSzfoRc/AAAAAAAAAAI/AAAAAAAAAAA/X6fWltc1dhA/s44-p-k-no-ns-nd/photo.jpg,,,,$$,Claimed business,Dine-in|Takeout|No-contact delivery,"SA|Riyadh|مقابل لوكالايزر مول, Prince Muhammad Ibn Abd Al Aziz|Al Olaya",,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJ-zda4RYDLz4R96oFZWh-MtE,[],
Assaraya Turkish Restaurant,+966 11 463 6000,Turkish restaurant,Turkish restaurant|Restaurant|Shawarma restaurant,https://instagram.com/alssaraya?igshid=YmMyMTA2M2Y=,4.0,17193.0,1: 10:30 AM–2 AM|2: 10:30 AM–2 AM|3: 10:30 AM–2 AM|4: 10:30 AM–2 AM|5: 10:30 AM–2 AM|6: 12:30 PM–2 AM|7: 10:30 AM–2 AM,['https://lh5.googleusercontent.com/p/AF1QipOpJrxlZca5ebAJuswy_mGVww2uLt5vXxKbtiE8=w408-h252-k-no'],ChIJyT2JmmwDLz4R13cQM4bnNtY,46.6952343,24.692715,Al Olaya,Riyadh,8606.0,https://lh5.googleusercontent.com/-RRbNznfpjSo/AAAAAAAAAAI/AAAAAAAAAAA/iDgfPclpwZU/s44-p-k-no-ns-nd/photo.jpg,"Sprawling, unpretentious restaurant offering a large menu of Turkish starters, meats, breads & more.",,12221.0,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|Prince Sultan Bin Abdulaziz Rd|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJyT2JmmwDLz4R13cQM4bnNtY,[],
Burger Boutique,+966 55 072 0864,Restaurant,Restaurant,http://www.gastronomica-me.com/,4.1,15386.0,1: 12 PM–1 AM|2: 12 PM–1 AM|3: 12 PM–1 AM|4: 12 PM–1 AM|5: 12 PM–2 AM|6: 12 PM–2 AM|7: 12 PM–2 AM,['https://lh5.googleusercontent.com/p/AF1QipPYgWeNt483dHctCowhvZWtEHXyOILPBaVjWWkF=w408-h272-k-no'],ChIJt-Cq9o4DLz4RLELem_kAyLM,46.6786015,24.7029535,Al Olaya,Riyadh,8010.0,https://lh3.googleusercontent.com/-9W7nYNptYx0/AAAAAAAAAAI/AAAAAAAAAAA/Yrp749MKlqg/s44-p-k-no-ns-nd/photo.jpg,,,12214.0,$$$,Claimed business,Dine-in|Curbside pickup|No-contact delivery,SA|Riyadh|Musa Ibn Nusair St|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJt-Cq9o4DLz4RLELem_kAyLM,[],
Hamam Abdoh,+966 58 181 2222,Egyptian restaurant,Egyptian restaurant,https://www.instagram.com/hamamabdohsa/,4.2,13609.0,1: 12:30 PM–12 AM|2: 12:30 PM–12 AM|3: 12:30 PM–12 AM|4: 12:30 PM–12 AM|5: 12:30 PM–12:30 AM|6: 12:30 PM–1 AM|7: 12:30 PM–12 AM,['https://lh5.googleusercontent.com/p/AF1QipPDBTRgDaVPNN_D91zaTtIHjXfgN7Sxx7537plW=w408-h306-k-no'],ChIJK3fx0UcDLz4R8C0dXE-m94s,46.6807426,24.6871644,Al Olaya,Riyadh,5502.0,https://lh3.googleusercontent.com/-1eqEeNrixu4/AAAAAAAAAAI/AAAAAAAAAAA/IC3zW444akU/s44-p-k-no-ns-nd/photo.jpg,,,12313.0,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|Prince Sultan Bin Abdulaziz Rd|Al Olaya,,,,open,"['https://drive.google.com/open?id=1ponTDvpNOHIXWuaCzhrNyNL7alk_cDK7', 'https://drive.google.com/open?id=1Ni0jp0RoOgpriNVF4h41jHj0X6Y6Hrff', 'https://drive.google.com/open?id=1MzZ3g-vYE_UGz6ARxoNt-gkB5Ak_EOKJ', 'https://drive.google.com/open?id=1w2GbNrh9VCUTjj5LmesxL3vtwlPKHfLg', 'https://drive.google.com/open?id=190HPR5uQqsuRXq1sdCqDGhltKWWW6UUt', 'https://drive.google.com/open?id=1A8_Slei_CL-0IrqU9cXwte23QckaJS6Z', 'https://drive.google.com/open?id=1Dmgcp_ddJzZTGvuahtV3X_AWj3wnd6Wb']",https://www.google.com/maps/place/?q=place_id:ChIJK3fx0UcDLz4R8C0dXE-m94s,"['https://drive.google.com/open?id=1NFDtdrZy7oPbA9VR5xXvPFdsLEY9jyaF', 'https://drive.google.com/open?id=1jl5o9K9LQz_cToQ4ZiMONb1CxwWY_ZAF']",
Narcissus Hotel Riyadh,+966 9200 00777,Hotel,Hotel,http://www.narcissusriyadh.com/,4.4,12421.0,,['https://lh5.googleusercontent.com/p/AF1QipNojm_I7x3dhYuXaEbQlBOFA5xnK8tD8UNMDq2t=w408-h544-k-no'],ChIJl6n7wzsDLz4RxfyAu6mEHv0,46.6836215,24.6956749,Al Olaya,Riyadh,10545.0,https://lh4.googleusercontent.com/-JDnHu9VkC7k/AAAAAAAAAAI/AAAAAAAAAAA/vu_oyMTCiI4/s44-p-k-no-ns-nd/photo.jpg,"Opulent rooms & suites in a palatial hotel offering a tranquil spa, an indoor pool & 3 restaurants.",,12212.0,,Claimed business,,SA|Riyadh|Olaya St|Al Olaya,,,SAR 1012.50,open,"['https://drive.google.com/open?id=1xYGULA2xkW47f-JFMrbW_83ZWRPNNx4K','https://drive.google.com/open?id=13Hc1JvHP7zU38GRbj9foybTWXtFeE87h','https://drive.google.com/open?id=1GhCJlud71VZZ-4rYMlXPFnjpH30HXRv1','https://drive.google.com/open?id=1puLfFUrj9Oz9Vjl1Ox6koQF2U4dNxox3']",https://www.google.com/maps/place/?q=place_id:ChIJl6n7wzsDLz4RxfyAu6mEHv0,[],
Gad Restaurant,,Egyptian restaurant,Egyptian restaurant|Falafel restaurant,https://www.hvmenu.com/2020/07/Gad-menu.html,3.8,12141.0,"1: 6 AM–1 AM|2: 6 AM–1 AM|3: 6 AM–1 AM|4: 6 AM–1 AM|5: 6 AM–1 AM|6: 6–10 AM, 12:30 PM–1 AM|7: 6 AM–1 AM",['https://lh5.googleusercontent.com/p/AF1QipOGUkOB4Gs5vwKskLvzw2golQ-Im7ksKDJwTvoA=w426-h240-k-no'],ChIJ099AA0kDLz4RbfAfczdax30,46.6775314,24.6851931,Al Olaya,Riyadh,2963.0,https://lh5.googleusercontent.com/-8TY5l6N1glI/AAAAAAAAAAI/AAAAAAAAAAA/DNVpJ9_uusg/s44-p-k-no-ns-nd/photo.jpg,,,12311.0,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|Prince Sultan Bin Abdulaziz Rd|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJ099AA0kDLz4RbfAfczdax30,[],
Four Seasons Hotel Riyadh At Kingdom Center,+966 11 211 5000,Hotel,Hotel|Extended stay hotel|Resort hotel|Spa|Wedding venue,https://www.fourseasons.com/riyadh/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-riy-hre-mid-seo-na&utm_content=na-na&utm_term=na,4.5,10994.0,,['https://lh5.googleusercontent.com/p/AF1QipOB6iU-ZODGzw7kGiBXrDk5NfW5LPml9TnBqYHo=w408-h272-k-no'],ChIJmZNIDYkDLz4RvkI6LbJcj7c,46.6743073,24.7113676,Al Olaya,Riyadh,7736.0,https://lh5.googleusercontent.com/-iwO1ik99TJc/AAAAAAAAAAI/AAAAAAAAAAA/wDWMdDEVtcY/s44-p-k-no-ns-nd/photo.jpg,"The Four Seasons Hotel Riyadh at Kingdom Centre is a luxurious five-star hotel located within the Kingdom Centre Tower. Offering unparalleled comfort and elegance, the hotel features spacious rooms and suites with stunning views of the city. Guests can indulge in world-class dining, relax at the spa, and enjoy amenities such as a fitness center, outdoor pool, and business facilities. The hotel is also an ideal venue for meetings, weddings, and special events.

","فندق الفور سيزونز الرياض في مركز المملكة هو فندق فاخر بخمس نجوم يقع داخل برج مركز المملكة. يوفر الفندق راحة وأناقة لا مثيل لهما، ويتميز بغرف وأجنحة واسعة مع إطلالات رائعة على المدينة. يمكن للنزلاء الاستمتاع بتناول الطعام العالمي، والاسترخاء في السبا، والاستفادة من مرافق مثل مركز اللياقة البدنية، وحمام السباحة الخارجي، والمرافق التجارية. كما يعد الفندق مكانًا مثاليًا للاجتماعات وحفلات الزفاف والفعاليات الخاصة.




",,,Claimed business,,"SA|11321|Riyadh|Kingdom Centre, Olaya St|Al Olaya",,,SAR 3436.94,open,,https://www.google.com/maps/place/?q=place_id:ChIJmZNIDYkDLz4RvkI6LbJcj7c,[],
Centria Mall,+966 11 216 1111,Shopping mall,Shopping mall,http://www.centria.com.sa/,4.3,10792.0,1: 9 AM–12 AM|2: 9 AM–12 AM|3: 9 AM–12 AM|4: 9 AM–12 AM|5: 9 AM–12 AM|6: 1 PM–12 AM|7: 9 AM–12 AM,['https://lh5.googleusercontent.com/p/AF1QipOWoDjscGV0qqSYnM5mIN_ksRpEKjyt72_9hrA9=w426-h240-k-no'],ChIJq2uRCTsDLz4RjccbMfSnJ7Q,46.6839733,24.6975045,Al Olaya,Riyadh,7635.0,https://lh4.googleusercontent.com/-yHs_tvzTe8Q/AAAAAAAAAAI/AAAAAAAAAAA/cnJWRpgm0_U/s44-p-k-no-ns-nd/photo.jpg,Elegant indoor shopping center known for its high-end international luxury stores & upmarket cafes.,,12241.0,,Claimed business,,SA|Riyadh|Olaya St|Al Olaya,,,,open,"['https://drive.google.com/open?id=15zA7OGmiUPtJkKC_ojuzF9yBfd5G9m7n', 'https://drive.google.com/open?id=1Qe1fL_sD5mx5p3sj53eH6-e-cCHfmhle', 'https://drive.google.com/open?id=1dWOnBtDyiX0w6G84Z09BUP9ql_vOoqlB', 'https://drive.google.com/open?id=1OfPan3GE69l2jb5bO1Q7BgVasZH-LfVB', 'https://drive.google.com/open?id=1P2OGhP-vBLSFAljEXoVDqwqYpMC4-88A', 'https://drive.google.com/open?id=1egq2240QvZghh7EizNBROPsSPVZWpe3s', 'https://drive.google.com/open?id=1IsqUrC7q1WWRNEeBwKdV4HOnj0gutjfS', 'https://drive.google.com/open?id=10uiLFy0ciFDJc6-VY2nmROzXp30xziSf', 'https://drive.google.com/open?id=1ciWLPCEorOn95Ou0cVqElT9P0a36iood', 'https://drive.google.com/open?id=1UbF4udlg8Ko_ctm01MhNB6949gMCcbno']",https://www.google.com/maps/place/?q=place_id:ChIJq2uRCTsDLz4RjccbMfSnJ7Q,"['https://drive.google.com/open?id=1m-gr4WETB4F5u1XMKCNJKH_UR6pIhpJK', 'https://drive.google.com/open?id=1_rlg-YfowFSNgo3ja_sNPKTRBaynHUVs', 'https://drive.google.com/open?id=1yuu6XgS7qHYf0Vl1NxFhP0bP3dkdGDG2', 'https://drive.google.com/open?id=1k7LnPdu5cGmnBxaMdqS99yGSW2iWcEan', 'https://drive.google.com/open?id=1pI_DSp_proG3LWva7sF5MfyX5H7Bbtw_']",True
Cafe Bateel & Bateel - Tahlia Street,+966 800 111 0222,Restaurant,Restaurant,https://www.bateel.com/,4.6,10127.0,1: 7:30 AM–1 AM|2: 7:30 AM–1 AM|3: 7:30 AM–1 AM|4: 7:30 AM–1 AM|5: 7:30 AM–2 AM|6: 7:30 AM–2 AM|7: 7:30 AM–1 AM,['https://lh5.googleusercontent.com/p/AF1QipMYpacUgZpDrTi2QR46gANuneTk62fHYG5XVzq7=w408-h306-k-no'],ChIJxUb57L4DLz4RDXnKpswwkhY,46.690836,24.6998475,Al Olaya,Riyadh,4320.0,https://lh4.googleusercontent.com/-imi6WcYso90/AAAAAAAAAAI/AAAAAAAAAAA/JcURn31nhb0/s44-p-k-no-ns-nd/photo.jpg,,,12241.0,$$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|Tahlia Street|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJxUb57L4DLz4RDXnKpswwkhY,[],
